Ime,Prezime,Nalog,Stranka,Lista,Frakcija,Boja
Nalog,SZS,SavezZaSRB,SZS,SZS,Opozicija_bojkot,deepskyblue
Nalog,SSP,SlobodaIPravda,SSP,SZS,Opozicija_bojkot,deepskyblue
Dragan,Djilas,DraganDjilas,SSP,SZS,Opozicija_bojkot,deepskyblue
Marinika,Tepic,MarinikaTepic,SSP,SZS,Opozicija_bojkot,deepskyblue
Ana,Stevanovic,StevanovicAna7,SSP,SZS,Opozicija_bojkot,deepskyblue
Borko,Stefanovic,BorkoStef,SSP,SZS,Opozicija_bojkot,deepskyblue
Nalog,Dveri,SPDveri,Dveri,SZS,Opozicija_bojkot,deepskyblue
Bosko,Obradovic,BoskoObradovic,Dveri,SZS,Opozicija_bojkot,deepskyblue
Nalog,NS,StrankaNarodna,NS,SZS,Opozicija_bojkot,deepskyblue
Vuk,Jeremic,jeremic_vuk,NS,SZS,Opozicija_bojkot,deepskyblue
Nikola,Jovanovic,Nik_Jov,NS,SZS,Opozicija_bojkot,deepskyblue
Sanda,Raskovic-Ivic,sanda_SRI,NS,SZS,Opozicija_bojkot,deepskyblue
Dijana,Vukomanovic,vukomand,NS,SZS,Opozicija_bojkot,deepskyblue
Vladimir,Gajic,vladimirgajic1,NS,SZS,Opozicija_bojkot,deepskyblue
Nalog,DS,demokrate,DS,SZS,Opozicija_bojkot,deepskyblue
Zoran,Lutovac,ZoranLutovac,DS,SZS,Opozicija_bojkot,deepskyblue
Dragana,Rakic,draganarakich,DS,SZS,Opozicija_bojkot,deepskyblue
Balsa,Bozovic,Balshone,DS,SZS,Opozicija_bojkot,deepskyblue
Srdjan,Milivojevic,srdjanmil037,DS,SZS,Opozicija_bojkot,deepskyblue
Janko,Veselinovic,j_veselinovic,PZP,SZS,Opozicija_bojkot,deepskyblue
Aleksandar,Sapic,AcaSapic,SPAS,SPAS,Opozicija_izbori,yellow
Nalog,PSG,pokretslobodnih,PSG,PSG,Opozicija_izbori,red
Sergej,Trifunovic,WhistlerDick,PSG,PSG,Opozicija_izbori,red
Pavle,Grbovic,PavleGrbovic,PSG,PSG,Opozicija_izbori,red
Nina,Stojakovic,niinochka,PSG,PSG,Opozicija_izbori,red
Nalog,SRS,srpski_radikali,SRS,SRS,Opozicija_izbori,lightgreen
Vjerica,Radeta,VjericaR,SRS,SRS,Opozicija_izbori,lightgreen
Aleksandar,Seselj,AlekSeselj,SRS,SRS,Opozicija_izbori,lightgreen
Nemanja,Sarovic,NemanjaSarovic,SRS,SRS,Opozicija_izbori,lightgreen
Nalog,DJB,DostaJeBilo,DJB,DJB,Opozicija_izbori,orchid
Sasa ,Radulovic,SasaRadulovich,DJB,DJB,Opozicija_izbori,orchid
Branka,Stamenkovic,BrankaStamenkov,DJB,DJB,Opozicija_izbori,orchid
Hana,Adrovic,hanaadrovic,DJB,DJB,Opozicija_izbori,orchid
Vojin,Biljic,BiljicVojin,DJB,DJB,Opozicija_izbori,orchid
Nalog,Metla_2020,metla2020,M20,M20,Opozicija_izbori,purple
Nalog,DSS,dsscentar,DSS,M20,Opozicija_izbori,purple
Nalog,LSV,VOJVODINA_LSV,UDS,UDS,Opozicija_izbori,orange
Nenad,Canak,XXLTulip,UDS,UDS,Opozicija_izbori,orange
Tatjana,Macura,TatjanaMacura,UDS,UDS,Opozicija_izbori,orange
Aleksandar,Olenik,olenikadvokat,UDS,UDS,Opozicija_izbori,orange
Nalog,SNS,sns_srbija,SNS,SNS,Vlast,blue
Aleksandar,Vucic,avucic,SNS,SNS,Vlast,blue
Ana,Brnabic,anabrnabic,SNS,SNS,Vlast,blue
Dragana,Cerovic,dragacerovic,SNS,SNS,Vlast,blue
Slavisa,Micanovic,slavisa,SNS,SNS,Vlast,blue
Milenko,Jovanovic,MilenkoJovanov,SNS,SNS,Vlast,blue
Damir,Handanovic,handanovic,SNS,SNS,Vlast,blue
Marija,Jovicic,mara_jovicic,SNS,SNS,Vlast,blue
Marija,Obradovic,marijatvkv,SNS,SNS,Vlast,blue
Vladimir,Orlic,Vladimir_Orlic,SNS,SNS,Vlast,blue
Krsto,Janjusevic,KrstoJanjusevic,SNS,SNS,Vlast,blue
Ljuban,Kovacevic,ljuban,SNS,SNS,Vlast,blue
Vladimir,Djukanovic,djuka1979,SNS,SNS,Vlast,blue
Sandra,Bozic,BozicSandra,SNS,SNS,Vlast,blue
Marijan,Risticevic,MarijanNSS,NSS,SNS,Vlast,blue
Djordje,Djokovic,DjordjeDj,SPS,SPS,Vlast,pink
Nalog,SPS,socijalisti,SPS,SPS,Vlast,pink
Branko,Ruzic,brankoruzicsps,SPS,SPS,Vlast,pink
